ts	phase	decision	why	evidence	result
2026-08-26T14:27:37Z	motion	Add recovered ripple lift without changing settlement timing	The visual transform is independent from the transaction completion that owns snapshot handoff	Initial Y translation is -2 scaled linearly by scaleDelta/0.03; tests assert full and half transforms; spring duration remains 0.25	IMPLEMENTED_PENDING_TEST
2026-08-26T14:38:58Z	compile	Compile migrated production target model	Catch integration errors before test-callers converge	xcodebuild build scheme supaterm from apps/mac exited 0 with signing disabled	PASS
2026-08-26T15:29:28Z	evidence	Preserve the lifted source natural layout slot	Dia builds every ordinary snapshot row at full height before drag postprocessing; the postprocessor shifts displayed attributes only for an accepted target and never rewrites hit rectangles	FUN_104a4a540 ordinary loop and FUN_104a4d1e0 postprocessor, documented and pushed in dia-reverse-engineering commit 8088767	VERIFIED_SOURCE_SLOT
2026-08-26T15:29:28Z	implementation	Separate natural target geometry from projected gap geometry	The hit map must keep source-independent snapshot frames while the displayed plan hides the lifted source and adds the accepted destination gap	TerminalSidebarLayoutPlan builds natural and projected item geometry separately; layout-plan suite executed 24 tests with 24 passing	PASS
2026-08-26T15:30:02Z	gate	Accept the converged non-UI sidebar regression suite	All layout, planner, lifecycle, motion, resize, native capture, payload, and AppKit collection checks must pass after the final source-slot correction	xcodebuild executed 147 tests across 11 named suites with 147 passing, result bundle /tmp/supaterm-sidebar-broad.pn9B8o/sidebar-broad.xcresult	PASS
2026-08-26T15:50:02Z	implementation	Open ordinary-row visual gaps at the natural candidate band	Dia postprocessing shifts displayed rows from the chosen natural target minY; delegate destination normalization does not move the hit band or visual gap	TerminalSidebarLayoutPlan uses natural target Y for root-tab and group-item candidates while keeping model placeholders for commit settlement	PASS
2026-08-26T15:50:02Z	gate	Prove pointer hit through real final order	Separate hit-map and planner tests could both pass while their semantic handoff disagreed	Root and same-group direction matrices now resolve candidate frame midpoint through semantic target, planner, projected natural-gap frame, command, and TerminalTabCollection mutation; focused 46 tests passed	PASS
2026-08-26T15:53:13Z	gate	Accept the stable full macOS test target	The final natural-candidate visual-gap change must coexist with the entire application test target, not only sidebar suites	xcodebuild executed 2038 supatermTests with 2038 passing and zero failures or skips; /tmp/supaterm-full-stable.AX60GF/supatermTests.xcresult	PASS
2026-08-26T15:54:38Z	ui-compile	Accept direct Dia parity UI test compilation	The three root/group adjacent-direction scenarios must compile and link before runtime execution is attempted	xcodebuild build-for-testing for supatermUITests/DiaParityDragUITests exited 0 on arm64 macOS with signing disabled	PASS
2026-08-26T15:54:38Z	blocker	Keep live Computer Use and XCUITest execution distinct from compilation	A locked secure console has no drawable user application window and cannot provide pointer-driven evidence	IOConsoleLocked=Yes, CGSSessionScreenIsLocked=Yes, loginwindow frontmost after final UI compile; earlier Computer Use returned cgWindowNotFound	RUNTIME_BLOCKED_BY_LOCK
2026-08-26T16:23:40Z	review	Unify drag target validity and presentation state	Duplicated optional targets and acceptance booleans could drift across local and external sessions	TerminalSidebarDragTargetState now owns none, retained, and accepted transitions; focused state, coordinator, and external-drop suites passed	PASS
2026-08-26T16:23:40Z	structure	Extract autoscroll and presentation test ownership	The general motion implementation and test files mixed independent subsystems and approached the 1000-line limit	Autoscroll production is 314 lines, its tests are 248, collection motion is 561, motion tests are 577, drag controller is 983; strict format and diff checks pass	PASS
2026-08-26T16:23:40Z	gate	Accept final pre-rebase validation and review	The behavior and cleanup must pass subsystem, whole-target, UI compilation, correctness, and maintainability gates	Broad 147 passed; full supatermTests 2038 passed before the behavior-preserving file split; post-split broad 147 passed; UI build-for-testing passed; both thermos reviews report no blockers	PASS
2026-08-26T16:30:10Z	gate	Accept the rebased final commit	Main advanced while the interaction work was in progress, so validation must run again after history is replayed	Rebase onto origin/main 4c7057a5 completed without conflicts; full supatermTests executed 2038 with zero failures or skips; DiaParityDragUITests build-for-testing exited 0	PASS
2026-08-26T16:30:10Z	blocker	Recheck live pointer-test availability after final validation	Computer Use and XCUITest require an unlocked drawable macOS user session	IOConsoleLocked=Yes and CGSSessionScreenIsLocked=Yes; no demo process remains; runtime UI evidence is still blocked by the secure console	RUNTIME_BLOCKED_BY_LOCK
